80002,8,193,1,171,525
80006,8,120,1,192,520
80008,8,161,1,220,415
80009,8,174,1,150,340
80010,8,116,1,170,400
80011,8,233,1,140,460
80012,8,78,1,397,345
80013,8,111,1,150,420
80014,8,306,1,220,570
80015,8,277,1,198,500
80016,8,147,1,225,415
80017,8,145,1,170,350
80018,8,316,1,150,365
80024,8,249,1,290,550
80025,8,186,1,250,590
80026,8,77,1,265,655
80027,8,547,1,161,670
80028,8,351,1,193,520
80032,8,252,1,151,465
80035,8,127,1,214,515
80038,8,337,1,280,805
80039,8,290,1,370,790
80040,8,62,1,832,1060
80041,8,95,1,154,115
80042,8,231,1,190,425
80044,8,33,1,142,220
80046,8,370,1,140,480
80047,8,130,1,210,410
80048,8,109,1,230,575
80050,8,162,1,180,500
80051,8,45,1,180,300
80052,8,243,1,192,500
80053,8,68,1,295,790
80054,8,227,1,120,725
80055,8,176,1,360,695
80056,8,228,1,310,730
80057,8,81,1,265,560
80059,8,177,1,180,435
80060,8,106,1,360,660
80062,8,248,1,170,500
80068,8,93,1,205,230
80070,8,63,1,450,1089
80071,8,332,1,100,665
80073,8,72,1,572,1030
80074,8,122,1,226,555
80075,8,307,1,270,605
80077,8,134,1,113,325
80078,8,129,1,190,530
80079,8,240,1,150,470
80080,8,192,1,150,400
80081,8,26,1,76,270
80090,8,246,1,219,565
80092,8,112,1,120,350
80093,8,128,1,200,405
80094,8,367,1,250,590
80095,8,27,1,350,725
80096,8,270,1,150,520
80097,8,150,1,219,600
80098,8,318,1,219,620
80100,8,23,1,251,445
80101,8,550,1,182,630
80102,8,183,1,189,625
80103,8,274,1,190,620
80104,8,359,1,243,615
80105,8,56,1,137,515
80106,8,230,1,200,410
80107,8,267,1,200,405
80112,8,191,1,137,525
80113,8,364,1,274,415
80114,8,219,1,220,530
80115,8,308,1,270,480
80116,8,297,1,150,425
80117,8,181,1,200,540
80119,8,348,1,144,225
80121,8,553,1,148,650
80123,8,207,1,85,200
80124,8,265,1,282,670
80125,8,140,1,151,440
80126,8,175,1,211,520
80127,8,32,1,90,255
80131,8,203,1,181,595
80132,8,166,1,474,535
80133,8,184,1,271,520
80134,8,101,1,181,600
80135,8,264,1,203,565
80136,8,41,1,567,1075
80137,8,38,1,520,1115
80138,8,126,1,190,445
80140,8,74,1,336,595
80142,8,368,1,170,495
80143,8,236,1,131,485
80144,8,39,1,472,1140
80145,8,40,1,302,1120
80146,8,349,1,104,360
80148,8,11,1,255,545
80149,8,48,1,325,880
80150,8,16,1,1019,750
80151,8,75,1,298,600
80152,8,151,1,220,420
80153,8,275,1,250,655
80154,8,67,1,271,570
80155,8,90,1,406,540
80157,8,334,1,190,495
80161,8,156,1,420,770
80163,8,96,1,277,595
80164,8,94,1,298,480
80165,8,57,1,216,425
80166,8,50,1,346,830
80167,8,51,1,381,865
80169,8,29,1,151,400
80170,8,43,1,359,690
80171,8,66,1,308,395
80173,8,214,1,130,550
80175,8,76,1,309,675
80176,8,336,1,142,385
80177,8,321,1,250,575
80179,8,235,1,230,580
80180,8,546,1,132,350
80183,8,180,1,120,705
80184,8,222,1,214,505
80185,8,247,1,139,355
80186,8,266,1,160,470
80187,8,71,1,396,775
80188,8,12,1,232,1085
80190,8,314,1,148,550
80192,8,365,1,137,515
80193,8,309,1,167,350
80194,8,105,1,200,545
80195,8,58,1,170,545
80196,8,35,1,141,90
80197,8,305,1,140,500
80198,8,345,1,150,515
80199,8,356,1,140,470
80200,8,115,1,211,445
80202,8,202,1,191,505
80204,8,371,1,208,360
80205,8,357,1,104,385
80207,8,172,1,170,410
80208,8,171,1,206,560
80213,8,42,1,472,935
80215,8,65,1,581,1330
80216,8,80,1,340,755
80217,8,37,1,472,1115
80221,8,123,1,129,385
80222,8,317,1,309,470
80224,8,61,1,326,720
80227,8,300,1,293,720
80229,8,287,1,290,560
80230,8,131,1,271,650
80231,8,325,1,281,580
80234,8,213,1,158,535
80238,8,197,1,150,465
80239,8,284,1,200,435
80240,8,285,1,160,480
80241,8,152,1,200,420
80242,8,339,1,100,350
80244,8,218,1,244,805
80245,8,352,1,280,675
80246,8,179,1,390,505
80247,8,206,1,125,330
80248,8,343,1,157,370
80249,8,295,1,144,355
80251,8,9,1,321,365
80253,8,201,1,150,505
80254,8,552,1,239,375
80255,8,36,1,567,1285
80257,8,261,1,210,525
80258,8,259,1,150,445
80260,8,253,1,160,440
80261,8,331,1,140,365
80262,8,323,1,160,370
80263,8,85,1,309,465
80264,8,92,1,360,525
80265,8,99,1,334,630
80266,8,154,1,280,635
80267,8,347,1,198,640
80268,8,135,1,195,300
80269,8,160,1,180,450
80270,8,124,1,270,375
80271,8,354,1,220,440
80273,8,91,1,148,405
80275,8,291,1,232,580
80276,8,303,1,190,320
80277,8,338,1,161,555
80278,8,82,1,285,490
80280,8,84,1,239,310
80281,8,55,1,160,410
80282,8,86,1,202,395
80283,8,341,1,180,740
80285,8,209,1,180,445
80286,8,329,1,135,715
80287,8,87,1,274,665
80289,8,310,1,129,365
80290,8,22,1,312,125
80291,8,108,1,161,545
80293,8,44,1,151,280
80294,8,18,1,255,435
80297,8,25,1,360,450
80298,8,626,1,251,490
80299,8,369,1,219,430
80300,8,327,1,129,535
80302,8,159,1,160,675
80303,8,280,1,123,435
80304,8,107,1,161,560
80305,8,200,1,190,485
80307,8,70,1,524,1710
80308,8,269,1,190,525
80311,8,89,1,325,700
80312,8,326,1,290,440
80313,8,196,1,153,345
80314,8,113,1,85,170
80315,8,215,1,167,505
80317,8,663,1,331,1160
80322,8,178,1,281,755
80323,8,28,1,189,70
80327,8,64,1,580,1230
80328,8,132,1,271,660
